Part Number,Description,Quantity,Supplier,Lead Time,Unit Price,Annual Volume,Lifecycle Status,Category,Last Change Date
ABC-001,Custom Aluminum Housing,1,Supplier A,12,125.50,500,Active,Mechanical,2024-01-15
DEF-002,Stainless Steel Bracket,2,Supplier B,8,45.00,800,Active,Mechanical,2023-11-20
GHI-003,M6x20 Socket Head Screw,8,Supplier C,2,0.75,12000,Active,Standard,2023-08-10
JKL-004,O-Ring Seal 50mm,2,Supplier D,6,3.50,2000,Active,Standard,2024-02-05
MNO-005,Industrial Ball Bearing 6204,4,Supplier A,10,18.00,1500,Active,Mechanical,2023-12-12
PQR-006,PCB Main Controller Board,1,Supplier E,16,450.00,200,NRND,Electronic,2024-01-30
STU-007,DC Motor 24V 100W,1,Supplier F,14,280.00,300,Active,Mechanical,2023-10-25
VWX-008,Power Cable Assembly,1,Supplier G,4,22.00,600,Active,Electronic,2024-02-10
YZA-009,Emergency Stop Button,1,Supplier E,20,65.00,150,EOL,Electronic,2022-05-18
BCD-010,Enclosure Mounting Plate,1,Supplier A,12,95.00,400,Active,Mechanical,2024-01-08